Date,Scenario,CAE,Revenue
9/19/2020,ACTUALS,Wang,3120
9/28/2020,ACTUALS,Smith,2027
9/28/2020,ACTUALS,Smith,907.5
9/28/2020,ACTUALS,Wang,230
9/28/2020,ACTUALS,Wang,275
9/28/2020,ACTUALS,Wang,275
9/28/2020,ACTUALS,Wang,207.5
9/28/2020,ACTUALS,Wang,230
9/28/2020,ACTUALS,Wang,207.5
9/28/2020,ACTUALS,Wang,280
9/28/2020,ACTUALS,Garcia,3187
9/28/2020,ACTUALS,Garcia,487.5
9/28/2020,ACTUALS,Garcia,3966.25
9/28/2020,ACTUALS,Murphy,374
9/28/2020,ACTUALS,Garcia,537.78
9/28/2020,ACTUALS,Murphy,445.56
9/28/2020,ACTUALS,Ianova,320
9/28/2020,ACTUALS,Ianova,300
9/28/2020,ACTUALS,Murphy,100
9/28/2020,ACTUALS,Ianova,2975
9/28/2020,ACTUALS,Ianova,2125
9/28/2020,ACTUALS,Ianova,2125
9/28/2020,ACTUALS,Murphy,525
9/28/2020,ACTUALS,Murphy,1800
9/28/2020,ACTUALS,Murphy,2960
9/28/2020,ACTUALS,Murphy,11216.25
9/28/2020,ACTUALS,Wang,8150
9/28/2020,ACTUALS,Smith,468.24
9/28/2020,ACTUALS,Smith,820.43
9/28/2020,ACTUALS,Smith,499.79
9/28/2020,ACTUALS,Ianova,237.88
9/28/2020,ACTUALS,Smith,100
9/28/2020,ACTUALS,Smith,4180
9/28/2020,ACTUALS,Smith,1980
9/28/2020,ACTUALS,Smith,1980
9/28/2020,ACTUALS,Smith,1980
9/28/2020,ACTUALS,Smith,2590
9/28/2020,ACTUALS,Smith,995
9/28/2020,ACTUALS,Smith,1000
9/28/2020,ACTUALS,Smith,3000
9/28/2020,ACTUALS,Smith,3000
9/28/2020,ACTUALS,Smith,6000
9/28/2020,ACTUALS,Wang,1807
9/28/2020,ACTUALS,Wang,2550
9/28/2020,ACTUALS,Wang,2550
9/28/2020,ACTUALS,Wang,397.5
9/28/2020,ACTUALS,Wang,200
9/28/2020,ACTUALS,Wang,256.25
9/28/2020,ACTUALS,Wang,1250
9/28/2020,ACTUALS,Murphy,750
9/28/2020,ACTUALS,Murphy,3300
9/28/2020,ACTUALS,Murphy,3237
9/28/2020,ACTUALS,Murphy,2655
9/28/2020,ACTUALS,Murphy,1050
9/28/2020,ACTUALS,Murphy,8000
9/28/2020,ACTUALS,Murphy,5100
9/28/2020,ACTUALS,Murphy,2550
9/28/2020,ACTUALS,Murphy,6300
9/28/2020,ACTUALS,Murphy,5100
9/28/2020,ACTUALS,Garcia,360
9/28/2020,ACTUALS,Garcia,360
9/28/2020,ACTUALS,Garcia,360
9/28/2020,ACTUALS,Garcia,360
9/28/2020,ACTUALS,Garcia,360
9/28/2020,ACTUALS,Garcia,360
9/28/2020,ACTUALS,Garcia,360
9/28/2020,ACTUALS,Garcia,360
9/28/2020,ACTUALS,Garcia,360
9/28/2020,ACTUALS,Garcia,360
9/28/2020,ACTUALS,Garcia,360
9/28/2020,ACTUALS,Garcia,360
9/28/2020,ACTUALS,Garcia,360
9/28/2020,ACTUALS,Garcia,360
9/28/2020,ACTUALS,Garcia,360
9/28/2020,ACTUALS,Garcia,360
9/28/2020,ACTUALS,Garcia,360
9/28/2020,ACTUALS,Garcia,360
9/28/2020,ACTUALS,Garcia,360
9/28/2020,ACTUALS,Garcia,360
9/28/2020,ACTUALS,Garcia,360
9/28/2020,ACTUALS,Garcia,648
9/28/2020,ACTUALS,Garcia,648
9/28/2020,ACTUALS,Garcia,648
9/28/2020,ACTUALS,Garcia,648
9/28/2020,ACTUALS,Garcia,735
9/28/2020,ACTUALS,Garcia,525
9/28/2020,ACTUALS,Garcia,420
9/28/2020,ACTUALS,Garcia,735
9/28/2020,ACTUALS,Garcia,420
9/28/2020,ACTUALS,Garcia,735
9/28/2020,ACTUALS,Garcia,735
9/28/2020,ACTUALS,Garcia,1470
9/28/2020,ACTUALS,Garcia,630
9/28/2020,ACTUALS,Garcia,735
9/28/2020,ACTUALS,Garcia,735
9/28/2020,ACTUALS,Garcia,840
9/28/2020,ACTUALS,Garcia,840
9/28/2020,ACTUALS,Garcia,945
9/28/2020,ACTUALS,Garcia,1365
9/28/2020,ACTUALS,Garcia,105
9/28/2020,ACTUALS,Garcia,735
9/28/2020,ACTUALS,Garcia,75
9/28/2020,ACTUALS,Garcia,75
9/28/2020,ACTUALS,Garcia,75
9/28/2020,ACTUALS,Garcia,75
9/28/2020,ACTUALS,Garcia,75
9/28/2020,ACTUALS,Garcia,75
9/28/2020,ACTUALS,Garcia,75
9/28/2020,ACTUALS,Garcia,75
9/28/2020,ACTUALS,Garcia,75
9/28/2020,ACTUALS,Garcia,75
9/28/2020,ACTUALS,Garcia,75
9/28/2020,ACTUALS,Garcia,75
9/28/2020,ACTUALS,Garcia,75
9/28/2020,ACTUALS,Garcia,114
9/28/2020,ACTUALS,Garcia,76
9/28/2020,ACTUALS,Garcia,57
9/28/2020,ACTUALS,Garcia,95
9/28/2020,ACTUALS,Garcia,57
9/28/2020,ACTUALS,Garcia,95
9/28/2020,ACTUALS,Garcia,57
9/28/2020,ACTUALS,Garcia,57
9/28/2020,ACTUALS,Garcia,38
9/28/2020,ACTUALS,Garcia,95
9/28/2020,ACTUALS,Garcia,95
9/28/2020,ACTUALS,Garcia,228
9/28/2020,ACTUALS,Garcia,95
9/28/2020,ACTUALS,Garcia,228
9/28/2020,ACTUALS,Garcia,114
9/28/2020,ACTUALS,Garcia,171
9/28/2020,ACTUALS,Garcia,114
9/28/2020,ACTUALS,Garcia,228
9/28/2020,ACTUALS,Garcia,76
9/28/2020,ACTUALS,Garcia,171
9/28/2020,ACTUALS,Garcia,19
9/28/2020,ACTUALS,Garcia,19
9/28/2020,ACTUALS,Garcia,95
9/28/2020,ACTUALS,Garcia,19
9/28/2020,ACTUALS,Garcia,95
9/28/2020,ACTUALS,Garcia,95
9/28/2020,ACTUALS,Garcia,114
9/28/2020,ACTUALS,Garcia,114
9/28/2020,ACTUALS,Garcia,133
9/28/2020,ACTUALS,Garcia,209
9/28/2020,ACTUALS,Garcia,114
9/28/2020,ACTUALS,Garcia,95
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,5379.55
9/28/2020,ACTUALS,Garcia,1680
9/28/2020,ACTUALS,Garcia,390
9/27/2020,ACTUALS,Wang,1800
9/27/2020,ACTUALS,Wang,3000
9/27/2020,ACTUALS,Wang,100
9/27/2020,ACTUALS,Garcia,100
9/27/2020,ACTUALS,Garcia,100
9/27/2020,ACTUALS,Wang,100
9/27/2020,ACTUALS,Ianova,100
9/27/2020,ACTUALS,Ianova,230
9/27/2020,ACTUALS,Ianova,129.5
9/27/2020,ACTUALS,Ianova,280
9/27/2020,ACTUALS,Murphy,100
9/27/2020,ACTUALS,Murphy,100
9/27/2020,ACTUALS,Murphy,1100
9/27/2020,ACTUALS,Ianova,100
9/27/2020,ACTUALS,Ianova,15500
9/27/2020,ACTUALS,Ianova,332.5
9/27/2020,ACTUALS,Smith,100
9/27/2020,ACTUALS,Smith,100
9/27/2020,ACTUALS,Ianova,100
9/27/2020,ACTUALS,Smith,100
9/27/2020,ACTUALS,Smith,100
9/27/2020,ACTUALS,Smith,100
9/27/2020,ACTUALS,Ianova,-588
9/27/2020,ACTUALS,Smith,100
9/27/2020,ACTUALS,Smith,70
9/27/2020,ACTUALS,Smith,100
9/27/2020,ACTUALS,Smith,1785
9/27/2020,ACTUALS,Smith,100
9/27/2020,ACTUALS,Smith,100
9/27/2020,ACTUALS,Wang,100
9/27/2020,ACTUALS,Wang,100
9/27/2020,ACTUALS,Wang,100
9/27/2020,ACTUALS,Wang,100
9/27/2020,ACTUALS,Wang,100
9/27/2020,ACTUALS,Wang,100
9/27/2020,ACTUALS,Wang,100
9/27/2020,ACTUALS,Wang,3425
9/27/2020,ACTUALS,Wang,100
9/27/2020,ACTUALS,Murphy,125.56
9/27/2020,ACTUALS,Murphy,100
9/27/2020,ACTUALS,Murphy,100
9/27/2020,ACTUALS,Murphy,100
9/27/2020,ACTUALS,Murphy,13800
9/27/2020,ACTUALS,Murphy,100
9/27/2020,ACTUALS,Murphy,26250
9/27/2020,ACTUALS,Murphy,100
9/27/2020,ACTUALS,Murphy,100
9/27/2020,ACTUALS,Murphy,1605
9/27/2020,ACTUALS,Murphy,432.5
9/27/2020,ACTUALS,Murphy,100
9/27/2020,ACTUALS,Murphy,64360
9/27/2020,ACTUALS,Murphy,100
9/27/2020,ACTUALS,Murphy,100
9/27/2020,ACTUALS,Garcia,12750
9/27/2020,ACTUALS,Garcia,12750
9/27/2020,ACTUALS,Garcia,100
9/26/2020,ACTUALS,Garcia,1075
9/26/2020,ACTUALS,Wang,-2321
9/26/2020,ACTUALS,Wang,269.72
9/26/2020,ACTUALS,Wang,252.22
9/26/2020,ACTUALS,Wang,182.22
9/26/2020,ACTUALS,Garcia,100
9/26/2020,ACTUALS,Garcia,2720
9/26/2020,ACTUALS,Garcia,600
9/26/2020,ACTUALS,Garcia,424.72
9/26/2020,ACTUALS,Ianova,230
9/26/2020,ACTUALS,Ianova,230
9/26/2020,ACTUALS,Ianova,2800
9/26/2020,ACTUALS,Murphy,6809
9/26/2020,ACTUALS,Ianova,702.5
9/26/2020,ACTUALS,Garcia,6377.48
9/26/2020,ACTUALS,Smith,207.5
9/26/2020,ACTUALS,Smith,4180
9/26/2020,ACTUALS,Ianova,275
9/26/2020,ACTUALS,Smith,120
9/26/2020,ACTUALS,Smith,120
9/26/2020,ACTUALS,Smith,120
9/26/2020,ACTUALS,Smith,120
9/26/2020,ACTUALS,Ianova,2994
9/26/2020,ACTUALS,Smith,572
9/26/2020,ACTUALS,Smith,10
9/26/2020,ACTUALS,Smith,30
9/26/2020,ACTUALS,Smith,70
9/26/2020,ACTUALS,Smith,10
9/26/2020,ACTUALS,Smith,180
9/26/2020,ACTUALS,Smith,130
9/26/2020,ACTUALS,Smith,58
9/26/2020,ACTUALS,Smith,2618
9/26/2020,ACTUALS,Wang,6356.5
9/26/2020,ACTUALS,Wang,285
9/26/2020,ACTUALS,Murphy,50
9/26/2020,ACTUALS,Murphy,2400
9/26/2020,ACTUALS,Murphy,2400
9/26/2020,ACTUALS,Murphy,1200
9/26/2020,ACTUALS,Murphy,1425
9/26/2020,ACTUALS,Murphy,2100
9/26/2020,ACTUALS,Murphy,-3077
9/26/2020,ACTUALS,Murphy,485
9/26/2020,ACTUALS,Garcia,12750
9/26/2020,ACTUALS,Garcia,12750
9/26/2020,ACTUALS,Garcia,13600
9/26/2020,ACTUALS,Garcia,1050
9/26/2020,ACTUALS,Garcia,995
9/26/2020,ACTUALS,Garcia,1700
9/26/2020,ACTUALS,Garcia,1700
9/25/2020,ACTUALS,Smith,50
9/25/2020,ACTUALS,Wang,50
9/25/2020,ACTUALS,Wang,50
9/25/2020,ACTUALS,Wang,2040
9/25/2020,ACTUALS,Wang,50
9/25/2020,ACTUALS,Wang,50
9/25/2020,ACTUALS,Wang,50
9/25/2020,ACTUALS,Wang,50
9/25/2020,ACTUALS,Wang,50
9/25/2020,ACTUALS,Wang,435
9/25/2020,ACTUALS,Garcia,1200
9/25/2020,ACTUALS,Garcia,50
9/25/2020,ACTUALS,Garcia,50
9/25/2020,ACTUALS,Garcia,50
9/25/2020,ACTUALS,Garcia,50
9/25/2020,ACTUALS,Ianova,190
9/25/2020,ACTUALS,Ianova,50
9/25/2020,ACTUALS,Murphy,50
9/25/2020,ACTUALS,Ianova,50
9/25/2020,ACTUALS,Ianova,50
9/25/2020,ACTUALS,Murphy,1611.11
